id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
1683,0,172.18.0.10,b4:8c:9d:5b:7f:35,b4:8c:9d,51896,172.18.0.9,0c:67:14:e9:bd:9f,0c:67:14,7777,6,4,0,0,1787777606621,1787777606666,45,8,528,1787777606621,1787777606666,45,4,264,1787777606662,1787777606666,4,4,264,Unknown,Unspecified,0,0,,,,,
1684,0,127.0.0.1,00:00:00:00:00:00,00:00:00,33997,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787777634480,1787777639485,5005,4,388,1787777634480,1787777639485,5005,4,388,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
1685,0,127.0.0.1,00:00:00:00:00:00,00:00:00,40357,127.0.0.53,ff:ff:ff:ff:ff:ff,ff:ff:ff,53,17,4,0,0,1787777043899,1787777048903,5004,4,340,1787777043899,1787777048903,5004,4,340,0,0,0,0,0,DNS.Canonical,Network,0,6,ntp.ubuntu.com,,,,
1686,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,37449,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777706005,1787777706011,6,10,857,1787777706005,1787777706009,4,5,476,1787777706006,1787777706011,5,5,381,Zabbix,Network,0,6,,,,,
1687,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,33163,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777911005,1787777911010,5,10,857,1787777911005,1787777911009,4,5,476,1787777911007,1787777911010,3,5,381,Zabbix,Network,0,6,,,,,
1688,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,60205,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777611005,1787777611014,9,10,857,1787777611005,1787777611013,8,5,476,1787777611006,1787777611014,8,5,381,Zabbix,Network,0,6,,,,,
1689,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,40827,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777646013,1787777646018,5,8,655,1787777646013,1787777646016,3,4,383,1787777646014,1787777646018,4,4,272,Zabbix,Network,0,6,,,,,
1690,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,50953,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777046005,1787777046010,5,10,857,1787777046005,1787777046009,4,5,476,1787777046006,1787777046010,4,5,381,Zabbix,Network,0,6,,,,,
1691,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,45751,10.10.4.10,0c:67:14:e9:bd:9f,0c:67:14,10051,6,4,0,0,1787777721006,1787777721015,9,10,1919,1787777721006,1787777721014,8,5,1483,1787777721006,1787777721015,9,5,436,Zabbix,Network,0,6,,,,,
1692,0,10.10.3.20,b4:8c:9d:5b:7f:35,b4:8c:9d,39916,10.10.3.254,0c:67:14:e9:bd:9f,0c:67:14,53,17,4,0,0,1787777914741,1787777914741,0,1,86,1787777914741,1787777914741,0,1,86,0,0,0,0,0,DNS,Network,0,6,ntp.ubuntu.com.localdomain,,,,
